book_id,goodreads_book_id,best_book_id,work_id,books_count,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,title_length,authors_count,rating_deviation
71,18490,18490,4836639,2618,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,eng,3.75,808589,883563,19993,29366,74142,231022,300495,248538,12,3,2013969.1564531901
72,11588,11588,849585,289,Stephen King,1977,The Shining (The Shining #1),eng,4.17,791850,830881,14936,18487,28981,123862,277393,382158,28,1,1520639.469715603
73,1656001,1656001,3328799,161,Stephenie Meyer,2008,"The Host (The Host, #1)",en-US,3.84,749780,777560,39778,44215,62501,154906,227180,288758,23,1,1454230.6968213385
74,99561,99561,919292,187,John Green,2005,Looking for Alaska,eng,4.09,783470,831285,47128,16940,44232,147324,262932,359857,18,1,1565230.254462248
75,227443,227443,3185154,193,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,754498,8157,28973,59309,198555,254836,212825,41,1,1704659.1603748451
76,14935,14935,2809709,1969,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,738894,779382,11526,18430,34699,141987,272512,311754,21,3,1566983.0600076984
77,38709,38709,1679789,138,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",eng,3.93,747445,764637,15832,15495,43786,176946,269153,259257,17,2,1679532.62529463
78,5139,5139,38765,129,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,679845,8024,24231,58323,192366,226675,178250,49,1,1576218.0109605866
79,1381,1381,3356006,1703,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,eng,3.73,670326,710757,8101,29703,65629,183082,224120,208223,11,5,1547286.194797392
80,157993,157993,2180358,1708,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,eng,4.28,738757,859286,24537,15039,32866,114714,228440,468227,17,4,1308602.0045119785
81,7445,7445,2944133,92,Jeannette Walls,2005,The Glass Castle,eng,4.24,621099,637866,40777,7901,18922,85191,227750,298102,16,1,1196522.5767133536
82,1845,1845,3284484,108,Jon Krakauer,1996,Into the Wild,eng,3.94,647684,665377,17299,19229,35567,135199,248287,227095,13,1,1450655.6465137508
83,1953,1953,2956372,525,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,637412,677713,13093,28904,55555,153305,216378,223571,20,3,1407638.4594519066
84,7677,6424171,3376836,176,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,650483,8143,15736,34222,138327,231583,230615,33,1,1394026.7326443272
85,370493,370493,30530,81,Shel Silverstein,1964,The Giving Tree,eng,4.38,702332,708287,14368,15345,20408,76071,167542,428921,15,1,923859.4078757057
86,32542,32542,1804929,158,John Grisham,1989,A Time to Kill,eng,4.03,597775,608824,4239,12106,25938,122675,218617,229488,14,1,1282268.9146826013
87,1617,1617,265616,109,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),eng,4.3,691231,707879,22001,7761,18539,90575,230227,360777,28,2,1221956.8482956833
88,6442769,6442769,3364505,178,John Green,2008,Paper Towns,en-US,3.88,461311,655271,42717,14105,47183,154479,223895,215609,11,1,1439283.5251895473
89,21787,21787,992628,129,William Goldman,1973,The Princess Bride ,en-US,4.25,628637,658042,15630,12883,21641,89236,196047,338235,19,1,1082301.820010729
90,231804,231804,1426690,156,S.E. Hinton,1967,The Outsiders,en-US,4.06,659248,680437,22662,10178,34346,134244,227250,274419,13,1,1370252.0764908728
91,6186357,6186357,6366642,147,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",eng,4.02,719925,777956,48942,15291,43370,150488,266698,302109,33,1,1589710.9616843627
92,1202,1202,5397,124,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,524191,549301,13668,14586,26538,115789,216316,176072,89,2,1251126.5326914205
93,2998,2998,3186437,1350,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,639357,692249,13054,8005,25207,129646,243821,285570,17,1,1406637.1826248649
94,320,320,3295655,555,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,eng,4.04,490565,575667,21671,27340,37646,87675,155809,267197,29,2,934219.3607600923
95,5297,5297,1858012,2303,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,590014,674551,19647,9825,30735,129420,246892,257679,26,2,1427478.9700038396
96,13536860,13536860,18034963,133,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,387290,610116,25287,39079,55691,109963,140304,265079,37,1,963414.0523655829
97,17245,17245,3165724,2207,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,618973,689739,17263,11756,36719,151396,246043,243825,7,3,1500047.7475164083
98,5060378,5060378,6976108,209,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994,649253,31423,4623,15781,91021,258236,279592,46,2,1332952.3731821955
99,11857408,11857408,16813814,147,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,623340,28052,37245,58935,114203,150906,262051,38,1,1026863.9719908878
100,7244,7244,810663,39,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,546502,562787,19941,21699,33702,92590,175725,239071,20,1,1026381.1439918478
101,4137,4137,1030767,59,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,495736,514276,14982,19718,29034,93427,178021,194076,22,1,1030720.8568856411
102,19543,19543,3020535,110,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,620618,636061,9102,15392,27532,93700,167043,332394,25,1,988950.8329097681
103,7126,7126,391568,1310,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,eng,4.21,555822,601220,15925,10381,22482,89980,183142,295235,25,2,1037097.6652992249
104,6288,6288,3355573,181,Cormac McCarthy,2006,The Road,eng,3.95,504793,555787,38980,20086,36561,100989,190823,207328,8,1,1119300.815174968
105,18710190,18710190,15524549,153,Veronica Roth,2013,"Allegiant (Divergent, #3)",eng,3.63,463257,663226,62536,31626,78366,176061,192785,184388,25,1,1424434.0200842246
106,9418327,9418327,14302659,48,Tina Fey,2011,Bossypants,eng,3.94,506250,609260,35142,14842,31761,129390,230080,203187,10,1,1357175.60749007
107,3473,3473,3143497,131,Nicholas Sparks,1999,A Walk to Remember,en-US,4.15,546948,559581,11071,10640,24094,94327,169650,260870,18,1,999135.4809404715
108,9416,9416,3237433,144,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,558004,11170,30705,56949,156636,166927,146787,44,1,1220813.9252862702
109,24280,24280,3208463,1319,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,513407,560132,12505,15225,25914,87461,167385,264147,14,3,968532.4978995665
110,10572,10572,3272005,202,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,606765,20325,1788,7104,56167,221706,320000,46,1,1067752.0369352219
111,10441,10441,2868431,98,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,501430,510582,18027,19453,47004,145437,183150,115538,28,1,1243470.771434324
112,15507958,15507958,17763198,168,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",eng,4.27,587647,741133,71412,10346,21880,91517,249474,367916,33,1,1305867.752118594
113,168668,168668,814330,251,Joseph Heller,1961,Catch-22,en-US,3.98,563265,582515,13734,20639,37912,106269,186745,230950,8,1,1120977.9623523857
114,6900,6900,1995335,172,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,556518,584397,19272,11507,30534,107446,194448,240462,20,2,1149697.1173514237
115,2187,2187,1352495,125,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,488243,507998,20880,19329,30503,89740,171099,197327,9,1,995298.9222025283
116,24583,24583,41326609,2448,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,555359,594226,7165,12130,34349,143659,217896,186192,28,3,1359134.4566766517
117,18131,18131,948387,165,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,650094,19413,17313,34988,119115,209745,268933,49,1,1248994.1084162598
118,7763,7763,1955658,126,Amy Tan,1989,The Joy Luck Club,eng,3.9,515090,525243,6708,14802,30197,116748,195930,167566,17,1,1179561.49512835
119,38447,38447,1119185,236,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,607889,683564,35925,13998,32561,116975,252942,267088,19,1,1413823.0136429654
120,452306,452306,1058370,93,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,536604,6477,14996,42396,152024,177404,149784,54,1,1235489.1456660777
121,7604,7604,1268631,370,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,3.88,469836,517990,18107,21091,37205,108664,165477,185553,6,2,1041224.6710867005
122,37442,37442,1479280,80,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900,525498,22926,40802,65835,132061,153583,133217,81,2,1101387.7875309896
123,5358,5358,38270,11,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,488355,3139,5075,20119,111543,190966,160652,35,1,1133661.6348280453
124,7937843,7937843,9585076,151,Emma Donoghue,2010,Room,eng,4.03,511360,556327,42254,11020,26079,99831,217995,201402,4,1,1212616.840104489
125,1420,1420,1885548,1929,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,eng,4.0,515820,576894,8889,10413,32697,121040,192937,219807,6,3,1189854.9050900165
126,234225,234225,3634639,241,Frank Herbert,1965,Dune (Dune Chronicles #1),eng,4.19,485032,525976,13239,13354,22778,74206,154771,260867,25,1,873910.669837483
127,2612,2612,2124255,100,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,499066,10895,15111,25871,106453,189120,162511,62,1,1112475.5481513867
128,11084145,11084145,16005831,190,Walter Isaacson,2011,Steve Jobs,eng,4.09,560715,579256,15198,19680,21986,88456,203975,245159,10,1,1105566.2061541702
129,332613,332613,2100252,275,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,491642,514458,7855,5672,15978,78714,191622,222472,31,1,1028920.3421978859
130,2165,2165,69741,666,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,520630,574328,16716,28645,52583,136217,186747,170136,23,1,1232165.2111745204
131,4395,18114322,2931549,381,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,322321,553352,12991,23552,40261,103475,173589,212475,19,1,1061756.8398900519
132,3431,3431,2561472,123,Mitch Albom,2003,The Five People You Meet in Heaven,eng,3.9,449501,474699,16682,12360,33669,107800,155830,165040,34,1,1001703.6383647321
133,8127,8127,3464264,1314,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,533352,14041,8864,19531,80256,158725,265976,47,1,905872.7234377296
134,3777732,3777732,3443248,122,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173,630560,22736,6646,17351,79202,179290,348071,42,1,982829.1000149074
135,62291,62291,1164465,175,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,469022,527644,19497,1456,4820,36418,149268,335682,46,1,714517.7209515508
136,137791,137791,1010054,75,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676,470508,3867,15795,35314,120396,158451,140552,38,1,1049830.2836196623
137,10964,10964,2489796,189,Diana Gabaldon,1991,"Outlander (Outlander, #1)",eng,4.2,515547,578842,36707,20998,27673,73126,147085,309960,25,1,842072.8774145622
138,12296,12296,4925227,1579,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,3.37,509883,559246,11428,34813,80444,182701,165079,96209,18,3,1334498.2301670823
139,9460487,9460487,14345371,155,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,613674,672222,53569,14920,45434,159227,234792,217849,84,1,1492802.5103649986
140,6892870,6892870,12883496,193,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,443951,526791,26766,3823,14773,78387,203297,226511,54,2,1074078.349913343
141,18007564,18007564,21825181,148,Andy Weir,2012,The Martian,eng,4.39,423344,529702,61298,4114,10856,49200,173861,291671,11,1,860649.1431612114
142,5043,5043,3359698,255,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,495893,26283,9248,16886,57825,148052,263882,53,1,790213.9506747827
143,18143977,18143977,25491300,139,Anthony Doerr,2014,All the Light We Cannot See,eng,4.31,470001,547827,53413,6209,14527,61020,185239,280832,27,1,946867.8731449345
144,8664353,8664353,12946965,16,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,528552,41572,10308,12874,47828,144203,313339,70,1,735743.3641265193
145,976,976,3135896,180,Dan Brown,2001,Deception Point,eng,3.67,455610,479733,7798,14380,45006,143182,160819,116346,15,1,1148458.8826120154
146,17333223,17333223,24065147,108,Donna Tartt,2013,The Goldfinch,eng,3.87,396756,463847,44631,19164,35300,93459,153459,162465,13,1,945654.6212778998
147,1217100,29844228,2588213,150,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,463783,571281,43467,15246,35668,105414,179197,235756,20,1,1089126.0833978725
148,2865,2865,3358875,169,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,467577,492177,8011,11525,28287,123463,189656,139246,25,1,1174067.2645927179
149,4374400,4374400,4422413,130,Gayle Forman,2009,"If I Stay (If I Stay, #1)",en-US,3.96,503527,567087,34959,12666,34896,122977,190793,205755,25,1,1189234.7741396294
150,4989,4989,1041558,80,Anita Diamant,1997,The Red Tent,en-US,4.16,424981,449217,17234,9470,19616,67878,146178,206075,12,1,818114.4537132834
151,28186,28186,43554,121,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,550512,20097,2967,13884,91127,188988,253546,57,1,1054140.5328199205
152,5526,5526,3222389,111,Nicholas Sparks,2006,Dear John,en-US,4.01,441062,454781,10626,9683,25220,94711,145202,179965,9,1,905703.9885896948
153,1582996,1582996,1575860,125,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,586008,23643,6135,20075,92626,192934,274238,42,1,1083635.5498827319
